env,gid,value
1_PI_LN,L032xL039,5.296565576440271
1_PI_LN,L032xL042,3.1013226146541477
1_PI_LN,L032xL043,5.928587509325492
1_PI_LN,L032xL044,5.088900253179088
1_PI_LN,L032xL045,4.364940417825981
1_PI_LN,L032xL046,4.225502785788268
1_PI_LN,L032xL047,3.950687261521483
1_PI_LN,L032xL049,2.8954965484709176
1_PI_LN,L032xL058,3.6157179203649514
1_PI_LN,L033xL007B,3.5921429994351017
1_PI_LN,L033xL034,4.213369930100771
1_PI_LN,L033xL035,3.800583514161843
1_PI_LN,L033xL037,6.008924609435102
1_PI_LN,L033xL038,2.2921843251790888
1_PI_LN,L033xL041,2.521383789847761
1_PI_LN,L033xL043,4.003620832435102
1_PI_LN,L033xL046,5.6517598173917225
1_PI_LN,L033xL047,2.9322274351771305
1_PI_LN,L033xL048,3.7425863494351015
1_PI_LN,L033xL049,4.788898249831519
1_PI_LN,L033xL054,4.414983722435101
1_PI_LN,L033xL056,4.383982080435102
1_PI_LN,L034xL007B,4.833146640397873
1_PI_LN,L034xL014C,2.722983585453557
1_PI_LN,L034xL038,3.9384645717856515
1_PI_LN,L034xL039,4.7561404302648205
1_PI_LN,L034xL042,3.474917855611352
1_PI_LN,L034xL043,4.833641735099095
1_PI_LN,L034xL044,5.074763869788268
1_PI_LN,L034xL045,4.9585423441007705
1_PI_LN,L034xL046,3.9177290694535563
1_PI_LN,L034xL047,4.291952622785832
1_PI_LN,L034xL048,4.309839553100772
1_PI_LN,L034xL049,4.263259485873287
1_PI_LN,L034xL055,1.8772577495658633
1_PI_LN,L034xL058,2.989666209186459
1_PI_LN,L035xL007B,4.831160147897141
1_PI_LN,L035xL014B,4.913982080435102
1_PI_LN,L035xL014C,4.259506340642785
1_PI_LN,L035xL037,3.722334530391723
1_PI_LN,L035xL038,2.796528880685776
1_PI_LN,L035xL041,3.9285594878477608
1_PI_LN,L035xL045,4.641503054161843
1_PI_LN,L035xL046,3.6563707416616937
1_PI_LN,L035xL047,3.4743925894351015
1_PI_LN,L035xL056,3.517535897642785
1_PI_LN,L035xL058,1.5302894973978725
1_PI_LN,L037xL007B,4.845002476177131
1_PI_LN,L037xL038,3.2016745186616937
1_PI_LN,L037xL039,4.128362704903735
1_PI_LN,L037xL041,2.3008090778477612
1_PI_LN,L037xL045,6.554364216251647
1_PI_LN,L037xL046,5.487343535364952
1_PI_LN,L037xL048,3.581338303873287
1_PI_LN,L037xL049,5.8358759214402705
1_PI_LN,L037xL055,4.591950423251648
1_PI_LN,L037xL056,5.601899063897141
1_PI_LN,L037xL058,1.7879810163898555
1_PI_LN,L038xL042,0.4827754851864593
1_PI_LN,L038xL043,4.100250784847761
1_PI_LN,L038xL045,5.082592465392673
1_PI_LN,L038xL046,3.939111502277935
1_PI_LN,L038xL048,4.331079618009893
1_PI_LN,L038xL049,5.936724181873287
1_PI_LN,L038xL054,3.3630008000098934
1_PI_LN,L038xL055,3.7594744975658636
1_PI_LN,L038xL056,3.9386519438315184
1_PI_LN,L038xL058,4.240495450391723
1_PI_LN,L039xL041,3.044530971642785
1_PI_LN,L039xL042,1.0836341852175824
1_PI_LN,L039xL043,4.945603822847761
1_PI_LN,L039xL044,4.532814595685776
1_PI_LN,L039xL045,5.303239551903735
1_PI_LN,L039xL046,4.8453691193254915
1_PI_LN,L039xL049,5.367053320654148
1_PI_LN,L039xL056,3.339638412325492
1_PI_LN,L039xL058,3.096041644642785
1_PI_LN,L041xL007B,3.919440307785832
1_PI_LN,L041xL014C,3.700379633788268
1_PI_LN,L041xL046,3.920227933392673
1_PI_LN,L041xL047,2.568957264611352
1_PI_LN,L041xL058,2.9282697923978724
