Environment,Covariate,Quantile,Period,Value
1_PI_LN,SRAD,0.5,FLO.GF,-0.5262361434863575
1_PI_LN,SRAD,0.75,V1.V4,-0.08513415093989869
1_PI_LN,SRAD,0.75,V4.VT,0.856100016768448
1_PI_LN,SRAD,0.75,VT.FLO,-0.11666227780878693
1_PI_LN,SRAD,0.75,FLO.GF,0.18524714830667977
1_PI_LN,T2M_MAX,0.25,P.V1,0.6071054245026921
1_PI_LN,T2M_MAX,0.25,V1.V4,1.0760257084759655
1_PI_LN,T2M_MAX,0.25,V4.VT,-0.8660254037844427
1_PI_LN,T2M_MAX,0.25,VT.FLO,0.8686697838531546
1_PI_LN,T2M_MAX,0.25,FLO.GF,0.4482860352772241
1_PI_LN,T2M_MAX,0.5,P.V1,0.8287640228668481
1_PI_LN,T2M_MAX,0.5,V1.V4,1.371797134032082
1_PI_LN,T2M_MAX,0.5,V4.VT,-0.9111421549074435
1_PI_LN,T2M_MAX,0.5,VT.FLO,0.8787024003772904
1_PI_LN,T2M_MAX,0.5,FLO.GF,-0.2828892824448814
1_PI_LN,T2M_MAX,0.75,P.V1,0.8314955047610952
1_PI_LN,T2M_MAX,0.75,V1.V4,1.4320094223470035
1_PI_LN,T2M_MAX,0.75,V4.VT,-1.0779690011229326
1_PI_LN,T2M_MAX,0.75,VT.FLO,0.9052960277419705
1_PI_LN,T2M_MAX,0.75,FLO.GF,1.2204351628511751
1_PI_LN,T2M_MIN,0.25,P.V1,-1.0864373430166603
1_PI_LN,T2M_MIN,0.25,V1.V4,1.0048230589370424
1_PI_LN,T2M_MIN,0.25,V4.VT,-0.7611960933748775
1_PI_LN,T2M_MIN,0.25,VT.FLO,0.9849041279409783
1_PI_LN,T2M_MIN,0.25,FLO.GF,-0.4353173871933101
1_PI_LN,T2M_MIN,0.5,P.V1,0.7078795373252548
1_PI_LN,T2M_MIN,0.5,V1.V4,1.2289080737644447
1_PI_LN,T2M_MIN,0.5,V4.VT,-0.5009130045428082
1_PI_LN,T2M_MIN,0.5,VT.FLO,1.030006517190948
1_PI_LN,T2M_MIN,0.5,FLO.GF,-0.45260925453716017
1_PI_LN,T2M_MIN,0.75,P.V1,0.15443547390298695
1_PI_LN,T2M_MIN,0.75,V1.V4,0.8632113414172347
1_PI_LN,T2M_MIN,0.75,V4.VT,-0.6442061293116754
1_PI_LN,T2M_MIN,0.75,VT.FLO,1.0782461719178522
1_PI_LN,T2M_MIN,0.75,FLO.GF,0.9890369386187297
1_PI_LN,T2M,0.25,P.V1,0.057241316152836764
1_PI_LN,T2M,0.25,V1.V4,0.9102721921938985
1_PI_LN,T2M,0.25,V4.VT,-0.6184416864360889
1_PI_LN,T2M,0.25,VT.FLO,0.8675643190196289
